time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-22T15:48:21.690Z,40.5558319,-124.2126694,14.43,3.21,ml,21,177,0.2341,0.12,nc,nc73850141,2023-02-23T00:44:05.211Z,"5km ESE of Ferndale, CA",earthquake,0.78,0.74,0.302,10,automatic,nc,nc
2023-02-22T15:18:06.170Z,18.231,-68.2605,96,3.76,md,15,205,0.3076,0.27,pr,pr2023053000,2023-02-22T15:54:41.369Z,"Mona Passage",earthquake,1.72,1.08,0.11,11,reviewed,pr,pr
2023-02-22T14:11:28.720Z,19.9041666666667,-155.158333333333,43.59,3.24,ml,45,256,,0.12,hv,hv73328927,2023-02-23T08:07:59.549Z,"5 km NW of Honomu, Hawaii",earthquake,0.59,0.95,0.127770204315516,25,reviewed,hv,hv
2023-02-22T13:12:26.230Z,18.7986666666667,-65.0575,17.13,3.09,md,8,259,0.4541,0.21,pr,pr71397073,2023-02-22T13:35:31.700Z,"Puerto Rico region",earthquake,1.15,1.64,0.0374247857082639,4,reviewed,pr,pr
2023-02-22T12:01:40.820Z,3.4998,95.652,37.581,4.6,mb,39,146,2.149,0.61,us,us6000jqsz,2023-02-22T12:38:20.040Z,"88 km SW of Meulaboh, Indonesia",earthquake,8.43,7.759,0.112,24,reviewed,us,us
2023-02-22T11:49:48.645Z,31.66921585,-104.3657864,6.620019531,3.1,ml,40,46,0.05796417111,0.2,tx,tx2023drxo,2023-02-22T20:18:44.568Z,"56 km S of Whites City, New Mexico",earthquake,0.7434584312,1.056199107,0.2,25,reviewed,tx,tx
2023-02-22T11:31:42.840Z,18.504,-66.568,95.91,3.08,md,10,243,0.04529,0.28,pr,pr71397063,2023-02-22T12:00:34.130Z,"5 km N of Garrochales, Puerto Rico",earthquake,2.25,1.35,0.108107921514801,6,reviewed,pr,pr
2023-02-22T11:31:00.650Z,31.66775369,-104.414489,4.897583008,2.6,ml,28,45,0.01891068981,0.2,tx,tx2023drwz,2023-02-22T21:01:01.121Z,"56 km S of Whites City, New Mexico",earthquake,1.087391024,1.287886703,0.1,16,reviewed,tx,tx
2023-02-22T11:19:41.506Z,31.674043,-104.365559,6.131567383,3.2,ml,37,46,0.05942307296,0.2,tx,tx2023drwp,2023-02-22T19:48:24.115Z,"55 km S of Whites City, New Mexico",earthquake,0.6782351348,0.7253531005,0.1,18,reviewed,tx,tx
2023-02-22T11:18:37.118Z,31.67358679,-104.3650167,6.131567383,2.9,ml,39,46,0.05972941695,0.2,tx,tx2023drwo,2023-02-22T20:39:27.344Z,"55 km S of Whites City, New Mexico",earthquake,0.7359308613999999,0.7023815649000001,0.1,24,reviewed,tx,tx
2023-02-22T11:04:46.440Z,51.7447,-173.4568,59.335,4,mb,57,188,1.649,0.8,us,us6000jqsr,2023-02-22T17:35:05.622Z,"71 km SE of Atka, Alaska",earthquake,12.14,11.804,0.083,39,reviewed,us,us
2023-02-22T10:25:52.063Z,41.8275,82.1664,10,4.8,mb,81,103,2.484,0.54,us,us6000jqsi,2023-02-22T10:45:47.040Z,"64 km W of Kuqa, China",earthquake,8.41,1.889,0.069,64,reviewed,us,us
2023-02-22T09:41:16.274Z,31.67355987,-104.369323,6.388647461,2.9,ml,40,46,0.0562193607,0.2,tx,tx2023drti,2023-02-22T20:31:00.913Z,"55 km S of Whites City, New Mexico",earthquake,0.7887437063,0.8696501855,0.1,24,reviewed,tx,tx
2023-02-22T09:34:04.571Z,-7.0608,129.4568,124.817,5.6,mww,114,46,2.561,0.77,us,us6000jqrr,2023-02-22T14:16:07.688Z,"Kepulauan Babar, Indonesia",earthquake,7.61,4.744,0.075,17,reviewed,us,us
2023-02-22T08:51:24.649Z,31.6721879,-104.3682345,7.211303711,4,ml,45,46,0.05669957537,0.2,tx,tx2023drrr,2023-02-22T19:30:55.696Z,"55 km S of Whites City, New Mexico",earthquake,0.7595570506,0.8489505565,0.2,26,reviewed,tx,tx
2023-02-22T08:04:14.054Z,-20.4986,-177.612,520.122,4.8,mb,52,122,3.87,0.9,us,us6000jqr1,2023-02-22T08:18:56.040Z,"Fiji region",earthquake,4.93,9.077,0.09,39,reviewed,us,us
2023-02-22T08:00:23.770Z,29.6819,81.6462,27.258,4.8,mb,57,62,3.7,0.79,us,us6000jqqz,2023-02-22T10:41:15.550Z,"68 km NW of Jumla, Nepal",earthquake,10.01,6.065,0.07,64,reviewed,us,us
2023-02-22T07:56:55.958Z,38.0724,37.7836,16.93,4.1,mb,33,79,0.9,1.09,us,us6000jqqy,2023-02-22T08:47:50.040Z,"7 km W of Do?an?ehir, Turkey",earthquake,4.42,6.177,0.197,7,reviewed,us,us
2023-02-22T07:44:10.283Z,31.67352601,-104.374706,6.645727539,4.2,ml,50,45,0.05186318022,0.2,tx,tx2023drpm,2023-02-23T07:50:17.020Z,"western Texas",earthquake,0.7295566402,0.9313321991,0.1,29,reviewed,tx,tx
2023-02-22T07:12:55.500Z,19.1495,-155.372,29.67,2.97,ml,46,180,,0.13,hv,hv73328827,2023-02-23T05:53:15.040Z,"12 km ESE of P?hala, Hawaii",earthquake,0.45,0.66,0.130847609173602,28,reviewed,hv,hv
2023-02-22T07:09:44.331Z,38.4645,40.3129,13.705,4.4,mb,37,99,1.352,0.69,us,us6000jqqq,2023-02-22T07:39:55.040Z,"8 km NW of Hani, Turkey",earthquake,4.15,3.858,0.144,14,reviewed,us,us
2023-02-22T07:01:42.280Z,31.66798052,-104.3795021,7.93112793,2.6,ml,21,57,0.0463138002,0.1,tx,tx2023drob,2023-02-23T05:49:05.040Z,"56 km S of Whites City, New Mexico",earthquake,0.7352520525,1.120220635,0.2,25,reviewed,tx,tx
2023-02-22T06:55:02.006Z,31.67078894,-104.3714522,6.131567383,3.1,ml,35,46,0.0536754862,0.2,tx,tx2023drnw,2023-02-22T20:08:28.321Z,"55 km S of Whites City, New Mexico",earthquake,0.7192811269,0.716478516,0.2,26,reviewed,tx,tx
2023-02-22T06:15:08.830Z,19.4653333333333,-155.438,7.41,2.74,ml,40,93,,0.14,hv,hv73328792,2023-02-22T20:36:48.460Z,"21 km W of Volcano, Hawaii",earthquake,0.29,0.65,0.13953311203913,24,reviewed,hv,hv
2023-02-22T06:13:41.560Z,18.1658333333333,-68.3693333333333,80.57,3.1,md,9,261,0.3469,0.09,pr,pr71397038,2023-02-22T07:48:07.530Z,"34 km SE of Boca de Yuma, Dominican Republic",earthquake,1.76,1.07,0.0922620413247057,7,reviewed,pr,pr
2023-02-22T06:01:20.362Z,33.7409,34.6135,10,4.4,mb,55,207,1.615,0.74,us,us6000jqqe,2023-02-22T23:27:30.331Z,"73 km WNW of Sidon, Lebanon",earthquake,8.13,1.962,0.085,40,reviewed,us,us
2023-02-22T04:31:42.408Z,9.5452,-84.7118,12.582,2.9,ml,9,200,0.723,0.25,us,us6000jqqc,2023-02-22T14:42:31.958Z,"11 km SW of Jacó, Costa Rica",earthquake,3.02,10.923,0.091,16,reviewed,us,us
2023-02-22T04:25:49.769Z,13.3404,-89.7407,58.985,4.3,mb,27,170,0.422,0.72,us,us6000jqpz,2023-02-22T04:36:15.040Z,"29 km SSE of Acajutla, El Salvador",earthquake,5.39,7.291,0.08,44,reviewed,us,us
2023-02-22T03:56:16.991Z,17.6401,-72.2878,15.905,4.3,mb,39,55,1.638,0.5,us,us6000jqps,2023-02-23T00:34:02.331Z,"Haiti region",earthquake,5.21,5.819,0.217,6,reviewed,us,us
2023-02-22T01:17:51.210Z,57.9138,-157.1779,93.4,2.9,ml,,,,0.67,ak,ak0232fo6kwh,2023-02-22T23:25:35.040Z,"Alaska Peninsula",earthquake,,1.5,,,automatic,ak,ak
2023-02-22T01:11:07.329Z,27.7693,55.2722,10,5,mww,230,29,2.934,0.63,us,us6000jqp6,2023-02-22T23:05:10.040Z,"112 km E of Ger?sh, Iran",earthquake,7.14,1.782,0.098,10,reviewed,us,us
2023-02-22T00:55:27.890Z,27.1078,143.413,10,4.9,mb,67,128,6.75,0.8,us,us6000jqp4,2023-02-22T01:12:09.040Z,"Bonin Islands, Japan region",earthquake,11.46,1.886,0.064,76,reviewed,us,us
2023-02-21T23:38:16.412Z,32.75299072,-100.6594179,6.920694987,2.5,ml,23,48,0.08061221256,0.2,tx,tx2023dqzl,2023-02-22T21:14:47.552Z,"16 km NE of Hermleigh, Texas",earthquake,0.7769874533999999,1.063867854,0.1,13,reviewed,tx,tx
2023-02-21T23:22:31.583Z,-22.0443,-68.5956,130.649,4.1,mb,12,96,0.649,0.58,us,us6000jqnl,2023-02-22T00:12:41.040Z,"56 km NE of Calama, Chile",earthquake,6.89,4.546,0.261,4,reviewed,us,us
2023-02-21T21:11:18.771Z,-41.5967,173.5741,57.489,4.6,mb,28,64,0.407,0.86,us,us6000jqms,2023-02-22T06:53:43.473Z,"",earthquake,2.35,4.828,0.193,8,reviewed,us,us
2023-02-21T20:48:43.471Z,31.6166812,-104.2725287,7.314135742,2.5,ml,38,60,0.05539547721,0.2,tx,tx2023dqtv,2023-02-22T10:55:13.345Z,"56 km NW of Toyah, Texas",earthquake,1.06667937,1.17132387,0.2,22,reviewed,tx,tx
2023-02-21T20:10:47.100Z,19.296,-64.686,37.16,3.41,md,8,300,0.9628,0.25,pr,pr71396993,2023-02-21T22:07:31.700Z,"107 km N of Cruz Bay, U.S. Virgin Islands",earthquake,3.69,17.64,0.11409973922005,5,reviewed,pr,pr
2023-02-21T19:57:47.620Z,19.322,-64.4375,30,3.85,md,15,305,1.0997,0.21,pr,pr2023052000,2023-02-21T20:32:14.528Z,"115 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,1.84,15.39,0.11,13,reviewed,pr,pr
2023-02-21T19:29:49.325Z,63.2094,-144.3031,0.3,3.1,ml,,,,0.94,ak,ak0232ebflqz,2023-02-21T19:32:19.345Z,"41 km NW of Mentasta Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-02-21T19:22:12.615Z,1.8189,93.9227,10,5,mb,84,62,3.687,0.89,us,us6000jqm1,2023-02-21T19:42:07.040Z,"282 km WSW of Sinabang, Indonesia",earthquake,6.31,1.433,0.071,67,reviewed,us,us
2023-02-21T19:21:37.002Z,63.6212,-150.7692,4.3,2.8,ml,,,,0.94,ak,ak0232ebdv2c,2023-02-21T19:23:59.761Z,"Central Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-02-21T18:51:02.502Z,2.4043,-100.8489,10,4.7,mb,172,186,15.23,0.68,us,us6000jqls,2023-02-21T19:32:33.040Z,"Galapagos Triple Junction region",earthquake,14.8,1.933,0.042,179,reviewed,us,us
2023-02-21T18:05:33.663Z,27.1278,143.557,11.894,5.1,mb,104,129,9.916,0.5,us,us6000jqli,2023-02-21T18:24:31.040Z,"Bonin Islands, Japan region",earthquake,11.15,4.278,0.038,226,reviewed,us,us
2023-02-21T16:15:52.372Z,-6.2269,130.104,10.47,5,mb,83,64,1.705,1.09,us,us6000jqku,2023-02-21T16:35:43.040Z,"Banda Sea",earthquake,6.08,4.62,0.077,54,reviewed,us,us
2023-02-21T16:06:49.627Z,36.2043,36.0917,10,4.2,mb,38,218,1.319,0.77,us,us6000jqkr,2023-02-21T17:13:49.085Z,"1 km ESE of Toygarl?, Turkey",earthquake,4.28,1.957,0.146,13,reviewed,us,us
2023-02-21T12:04:24.640Z,18.2168333333333,-67.3665,11.07,3,md,10,201,0.1634,0.34,pr,pr71396968,2023-02-21T12:31:32.710Z,"17 km SW of Stella, Puerto Rico",earthquake,1.09,1.43,0.0787878994331708,7,reviewed,pr,pr
2023-02-21T11:40:30.949Z,31.71768808,-104.2910744,7.57121582,2.8,ml,23,67,0.04931284233,0.3,tx,tx2023dqbu,2023-02-21T20:27:58.863Z,"51 km S of Whites City, New Mexico",earthquake,0.7158135893,0.761735277,0.1,14,reviewed,tx,tx
2023-02-21T11:35:18.693Z,36.2197,69.9286,174.4,4.2,mb,19,130,1.825,0.44,us,us6000jqiw,2023-02-21T16:40:33.040Z,"39 km S of Farkh?r, Afghanistan",earthquake,8.64,18.461,0.304,3,reviewed,us,us
2023-02-21T11:01:41.148Z,23.5196,121.6889,42.997,4.5,mb,46,98,0.381,0.65,us,us6000jqis,2023-02-21T16:32:53.040Z,"51 km S of Hualien City, Taiwan",earthquake,3.95,5.706,0.097,31,reviewed,us,us
2023-02-21T10:09:37.306Z,37.4007,37.2639,10,4.2,mb,15,103,0.232,0.3,us,us6000jqim,2023-02-21T16:10:53.040Z,"10 km SSW of Pazarc?k, Turkey",earthquake,3.02,1.957,0.264,4,reviewed,us,us
2023-02-21T09:56:46.321Z,38.2522,38.6518,10,4.1,mb,52,56,0.821,1.31,us,us6000jqil,2023-02-21T11:58:05.040Z,"24 km N of Sincik, Turkey",earthquake,5.43,1.941,0.127,18,reviewed,us,us
2023-02-21T09:46:09.748Z,38.0178,-115.777,4.1,2.7,ml,22,138.03,0.374,0.1721,nn,nn00856256,2023-02-21T17:01:32.640Z,"Nevada",earthquake,,3.4,0.21,16,reviewed,nn,nn
2023-02-21T09:04:39.030Z,36.7861671,-121.3761673,3.8,2.61,md,45,44,0.06118,0.17,nc,nc73849261,2023-02-22T09:17:08.219Z,"3km SSW of Ridgemark, CA",earthquake,0.23,0.88,0.1,49,automatic,nc,nc
2023-02-21T08:41:04.323Z,64.7154,-17.5759,10,5.1,mb,77,74,1.61,0.81,us,us6000jqie,2023-02-21T08:58:57.040Z,"Iceland",earthquake,6.52,1.767,0.037,237,reviewed,us,us
2023-02-21T08:27:05.080Z,35.96233333,-96.75883333,6.97,2.56,ml,100,64,0,0.2,ok,ok2023dpvj,2023-02-21T18:33:49.571Z,"2 km SSE of Cushing, Oklahoma",earthquake,,0.4,0.2,35,reviewed,ok,ok
2023-02-21T07:33:26.184Z,31.63830216,-104.4201385,6.080151367,3.1,ml,23,65,0.02059713232,0.2,tx,tx2023dptp,2023-02-21T19:48:49.644Z,"59 km S of Whites City, New Mexico",earthquake,1.167501624,0.7949665915,0.1,14,reviewed,tx,tx
2023-02-21T07:27:59.730Z,68.9582,-145.6456,0,3.1,ml,,,,0.6,ak,ak0232e49zut,2023-02-21T07:33:24.536Z,"92 km N of Arctic Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-02-21T06:05:36.653Z,27.7648,55.3612,21.285,5.3,mb,99,25,2.908,0.74,us,us6000jqhr,2023-02-21T11:16:51.828Z,"111 km NW of Bandar Abbas, Iran",earthquake,7.25,4.452,0.04,211,reviewed,us,us
2023-02-21T05:35:23.601Z,56.8447,-153.074,9.2,5.4,mww,,,,0.57,ak,ak0232e34rrl,2023-02-23T05:45:42.656Z,"42 km SSE of Old Harbor, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-02-21T03:51:28.839Z,2.6069,-84.434,10,4.9,mb,162,148,5.453,0.46,us,us6000jqhc,2023-02-22T01:59:29.040Z,"off the coast of Central America",earthquake,7.59,1.9,0.049,132,reviewed,us,us
2023-02-21T03:50:57.370Z,0.4262,96.6403,35,4.5,mb,32,176,1.278,0.61,us,us6000jqhe,2023-02-22T01:22:52.040Z,"228 km S of Sinabang, Indonesia",earthquake,4.65,1.946,0.118,21,reviewed,us,us
2023-02-21T02:54:00.944Z,-59.3726,-23.9648,10,5,mb,55,64,8.547,0.96,us,us6000jqha,2023-02-22T00:39:24.040Z,"South Sandwich Islands region",earthquake,10.94,1.46,0.089,40,reviewed,us,us
2023-02-21T02:40:17.949Z,59.2556,-152.8306,71.1,2.6,ml,,,,0.34,ak,ak0232e1divt,2023-02-22T00:08:25.040Z,"",earthquake,,0.5,,,automatic,ak,ak
