RefArea,Reference Area,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
S16000075,Aberdeen Donside,63500,65795,64767,61106,68439,66317,69177,70008,70366,72177,83387,93313,107810,127771,167305,170197,165164,169075,171493,172664,184080,206994,219221,206129,191874,185975
S16000076,Aberdeen South and North Kincardine,73511,77619,75560,83353,83290,85912,91415,96784,96472,104958,117026,126380,151308,169835,220583,226277,219359,227881,231647,232621,247517,275208,276465,257490,252705,243865
S16000077,Aberdeenshire East,62177,63106,65231,65065,68232,69102,73940,76945,78358,83434,98732,113606,131637,149559,195705,203433,186369,196487,189160,185665,205082,226772,231541,210653,205907,208991
S16000078,Aberdeenshire West,78136,85671,85746,85803,85251,92056,98172,99130,108152,111273,130664,150439,172232,203021,247291,253648,238406,248447,261140,263071,267123,283645,289884,261029,257071,254910
S16000079,Airdrie and Shotts,46079,48081,49789,48496,51710,54986,55501,55069,60465,62271,68768,80568,91710,105446,113117,122426,122687,122323,118547,106454,110916,109144,108457,120504,125713,126314
S16000080,Almond Valley,50064,52210,54890,57372,60001,63806,66820,72196,76353,84823,99112,115261,119939,126714,143492,146664,143892,143267,143002,133594,137206,156795,163242,166117,160413,177022
S16000081,Angus North and Mearns,57055,59189,58151,58183,62012,64496,66013,68250,71526,80157,90275,101941,111838,131514,159099,169766,166282,175203,170107,176576,175083,189849,187388,177133,174325,171841
S16000082,Angus South,51749,53742,55823,56773,59032,59245,61613,67097,73051,78381,91926,111520,125930,142948,163142,163149,154646,157286,156705,148774,153710,162050,178964,176662,176492,176446
S16000083,Argyll and Bute,50640,53836,54984,56243,57523,0,61575,65827,66019,72049,83561,96822,122582,132557,153497,153246,141915,143942,143731,142014,139932,139891,144203,146509,148266,149444
S16000084,Ayr,58285,59703,60424,62239,65467,66709,70732,71575,76122,85961,100394,114414,134870,159260,167324,161298,156913,161890,155046,148234,154905,154511,166831,164052,165452,169480
S16000085,Banffshire and Buchan Coast,46228,48241,48372,49721,50864,51750,53762,53770,52953,57945,64716,69154,83289,100129,128974,140033,129705,134361,142452,137503,137292,149744,153952,155967,150480,148368
